"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJHLDNG","EQ","04-May-2020","       2037.80","       2000.00","       2000.00","       1879.15","       1898.00","       1892.60","       1909.79","      52291","            99865059.20","      10550","      34861","         66.67"
"BAJAJHLDNG","EQ","05-May-2020","       1892.60","       1979.90","       1979.90","       1888.40","       1890.00","       1890.75","       1905.72","      23991","            45720195.60","       3657","      13386","         55.80"
"BAJAJHLDNG","EQ","06-May-2020","       1890.75","       1904.00","       1930.00","       1877.45","       1905.00","       1898.10","       1905.72","      19651","            37449319.05","       5062","       9603","         48.87"
"BAJAJHLDNG","EQ","07-May-2020","       1898.10","       1895.00","       1919.20","       1889.45","       1899.80","       1897.80","       1905.68","       8037","            15315975.45","       2040","       3522","         43.82"
"BAJAJHLDNG","EQ","08-May-2020","       1897.80","       1908.00","       1938.95","       1873.00","       1874.95","       1876.95","       1900.16","      20724","            39378863.10","       3945","      10580","         51.05"
"BAJAJHLDNG","EQ","11-May-2020","       1876.95","       1894.95","       1938.25","       1883.75","       1902.30","       1904.55","       1903.92","      20122","            38310763.80","       3350","       8677","         43.12"
"BAJAJHLDNG","EQ","12-May-2020","       1904.55","       1890.00","       1925.50","       1875.00","       1920.35","       1920.40","       1902.76","      20852","            39676453.10","       4854","      11482","         55.06"
"BAJAJHLDNG","EQ","13-May-2020","       1920.40","       1985.10","       2020.00","       1920.00","       1925.30","       1930.55","       1935.86","      44225","            85613433.10","       5828","      30044","         67.93"
"BAJAJHLDNG","EQ","14-May-2020","       1930.55","       1928.00","       1968.95","       1880.00","       1893.90","       1902.60","       1922.07","      29744","            57170125.70","       5591","      17375","         58.42"
"BAJAJHLDNG","EQ","15-May-2020","       1902.60","       1912.00","       1932.00","       1886.75","       1924.40","       1925.25","       1912.10","      13893","            26564866.40","       2871","       7063","         50.84"
