"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EQUITAS","EQ","04-May-2020","         51.50","         48.25","         49.45","         46.55","         47.80","         47.50","         47.46","   10862444","           515542254.40","      38807","    2345060","         21.59"
"EQUITAS","EQ","05-May-2020","         47.50","         49.05","         50.00","         47.45","         47.90","         47.80","         48.62","   10961880","           532953912.80","      31297","    1123595","         10.25"
"EQUITAS","EQ","06-May-2020","         47.80","         48.50","         52.00","         47.55","         50.70","         51.05","         50.61","   22071147","          1116966596.05","      66732","    3886635","         17.61"
"EQUITAS","EQ","07-May-2020","         51.05","         50.50","         52.35","         49.15","         50.80","         50.40","         50.97","    9698251","           494352462.10","      27822","    1557444","         16.06"
"EQUITAS","EQ","08-May-2020","         50.40","         51.30","         52.50","         47.60","         48.90","         49.30","         50.80","    9011228","           457763015.65","      27108","    1964671","         21.80"
"EQUITAS","EQ","11-May-2020","         49.30","         50.00","         51.25","         48.90","         49.25","         49.25","         50.01","    8204866","           410297096.20","      23876","    2163708","         26.37"
"EQUITAS","EQ","12-May-2020","         49.25","         48.90","         49.50","         46.70","         49.00","         48.95","         48.19","   10251902","           494080251.95","      35234","    2011185","         19.62"
"EQUITAS","EQ","13-May-2020","         48.95","         52.85","         52.90","         49.65","         52.30","         52.25","         51.67","   16190743","           836651114.05","      49581","    3942006","         24.35"
"EQUITAS","EQ","14-May-2020","         52.25","         52.35","         56.25","         50.30","         51.95","         51.80","         53.63","   26479392","          1420042624.45","      73432","    4343546","         16.40"
"EQUITAS","EQ","15-May-2020","         51.80","         50.80","         50.95","         48.25","         49.75","         49.85","         49.27","   23165095","          1141370085.15","      60442","    4606522","         19.89"
"EQUITAS","EQ","18-May-2020","         49.85","         49.40","         49.40","         43.35","         44.40","         44.25","         45.50","   19169059","           872131369.05","      62315","    4706567","         24.55"
"EQUITAS","EQ","19-May-2020","         44.25","         45.25","         45.90","         43.05","         44.50","         43.75","         44.49","   26841802","          1194166701.75","      59688","    3758586","         14.00"
"EQUITAS","EQ","20-May-2020","         43.75","         44.90","         46.40","         44.50","         45.35","         45.20","         45.27","   24451870","          1106924730.00","      53904","    2165958","          8.86"
"EQUITAS","EQ","21-May-2020","         45.20","         45.35","         46.50","         43.80","         44.60","         44.50","         45.49","   23706384","          1078416870.55","      91068","    2262509","          9.54"
"EQUITAS","EQ","22-May-2020","         44.50","         44.00","         45.60","         40.90","         41.95","         41.65","         43.19","   27940516","          1206778137.95","     114191","    3712581","         13.29"
"EQUITAS","EQ","26-May-2020","         41.65","         42.00","         42.45","         41.00","         41.35","         41.35","         41.65","    8001304","           333221133.95","      23433","    1366177","         17.07"
"EQUITAS","EQ","27-May-2020","         41.35","         41.75","         42.20","         40.80","         41.85","         41.80","         41.72","   12069466","           503486964.10","      28052","    3088508","         25.59"
"EQUITAS","EQ","28-May-2020","         41.80","         42.20","         44.60","         42.15","         42.65","         42.75","         43.35","   20571637","           891818141.70","      46226","    4562133","         22.18"
