"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRANULES","EQ","04-May-2020","        162.50","        160.00","        166.00","        156.05","        162.15","        161.90","        162.69","    1650800","           268562019.80","      19062","     471625","         28.57"
"GRANULES","EQ","05-May-2020","        161.90","        162.00","        164.35","        157.60","        159.35","        158.75","        161.32","     808179","           130375884.90","       9379","     298713","         36.96"
"GRANULES","EQ","06-May-2020","        158.75","        158.75","        160.45","        156.25","        159.00","        158.40","        157.86","     840151","           132624011.50","       9495","     277957","         33.08"
"GRANULES","EQ","07-May-2020","        158.40","        158.35","        162.80","        158.00","        159.95","        159.25","        160.38","     662107","           106191219.15","       7522","     203259","         30.70"
"GRANULES","EQ","08-May-2020","        159.25","        160.15","        162.40","        157.05","        158.50","        157.85","        159.73","     615011","            98237680.95","       9376","     297619","         48.39"
"GRANULES","EQ","11-May-2020","        157.85","        158.80","        161.60","        154.50","        154.90","        155.70","        157.68","     954218","           150460757.90","      12093","     396327","         41.53"
"GRANULES","EQ","12-May-2020","        155.70","        154.90","        158.70","        154.10","        156.50","        156.30","        156.27","    1008280","           157559292.30","       9710","     416185","         41.28"
"GRANULES","EQ","13-May-2020","        156.30","        160.40","        162.00","        156.00","        156.80","        156.25","        157.65","     740320","           116710059.75","      15181","     372033","         50.25"
"GRANULES","EQ","14-May-2020","        156.25","        154.95","        159.75","        154.75","        157.00","        156.50","        157.58","     904503","           142530411.10","      20226","     376046","         41.57"
"GRANULES","EQ","15-May-2020","        156.50","        156.50","        157.40","        155.20","        155.40","        155.50","        155.89","     624707","            97384548.45","      21699","     355694","         56.94"
"GRANULES","EQ","18-May-2020","        155.50","        156.00","        158.70","        154.15","        155.80","        155.30","        156.20","     656185","           102495238.00","      13533","     303504","         46.25"
"GRANULES","EQ","19-May-2020","        155.30","        156.80","        168.65","        155.80","        165.00","        165.25","        164.04","    4952276","           812351522.90","      50537","     980445","         19.80"
"GRANULES","EQ","20-May-2020","        165.25","        166.90","        174.50","        166.50","        171.85","        171.75","        171.39","    4678236","           801811898.40","      48549","     962969","         20.58"
"GRANULES","EQ","21-May-2020","        171.75","        172.60","        173.60","        167.60","        168.50","        168.50","        170.23","    1293199","           220138746.70","      19656","     491768","         38.03"
"GRANULES","EQ","22-May-2020","        168.50","        168.00","        171.35","        164.20","        166.00","        165.75","        167.57","    1303052","           218352213.90","      18990","     388144","         29.79"
"GRANULES","EQ","26-May-2020","        165.75","        168.00","        170.60","        166.00","        168.30","        167.45","        167.78","     913505","           153265097.50","      12552","     330931","         36.23"
"GRANULES","EQ","27-May-2020","        167.45","        168.90","        179.40","        166.15","        174.35","        173.90","        174.59","    4913450","           857821474.95","      51057","    1392033","         28.33"
"GRANULES","EQ","28-May-2020","        173.90","        175.20","        179.90","        170.20","        171.70","        171.60","        175.26","    2853618","           500111899.95","      29102","     773989","         27.12"
"GRANULES","EQ","29-May-2020","        171.60","        175.80","        177.80","        169.80","        171.80","        171.25","        173.67","    2894624","           502713482.85","      22143","     997392","         34.46"
"GRANULES","EQ","01-Jun-2020","        171.25","        173.00","        176.20","        170.50","        172.25","        171.30","        173.25","    2200163","           381185505.05","      15973","     864018","         39.27"
"GRANULES","EQ","02-Jun-2020","        171.30","        174.40","        182.90","        172.50","        182.90","        181.10","        178.55","    4967992","           887036401.00","      41235","    1749857","         35.22"
"GRANULES","EQ","03-Jun-2020","        181.10","        186.00","        188.50","        179.50","        182.95","        181.45","        184.41","    4885301","           900910713.80","      42475","    2097951","         42.94"
"GRANULES","EQ","04-Jun-2020","        181.45","        182.95","        189.00","        181.25","        183.85","        184.70","        185.31","    3309710","           613324270.75","      29033","    1006508","         30.41"
"GRANULES","EQ","05-Jun-2020","        184.70","        185.95","        187.80","        183.00","        184.00","        184.20","        184.97","    1368280","           253088767.65","      17062","     621232","         45.40"
"GRANULES","EQ","08-Jun-2020","        184.20","        186.00","        187.00","        179.30","        182.25","        181.50","        182.58","    1419435","           259161850.00","      21378","     696315","         49.06"
"GRANULES","EQ","09-Jun-2020","        181.50","        182.95","        185.60","        180.00","        181.10","        181.00","        182.97","    1258048","           230189976.10","      21153","     427497","         33.98"
"GRANULES","EQ","10-Jun-2020","        181.00","        181.85","        206.90","        181.75","        201.65","        203.80","        197.57","   14301038","          2825505369.20","     116290","    3206761","         22.42"
