"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GUJALKALI","EQ","04-May-2020","        361.25","        353.00","        359.75","        341.10","        341.10","        342.50","        348.15","     131168","            45666314.10","       4823","      57065","         43.51"
"GUJALKALI","EQ","05-May-2020","        342.50","        345.00","        349.80","        331.25","        334.70","        335.35","        339.59","      88439","            30032742.05","       3095","      35611","         40.27"
"GUJALKALI","EQ","06-May-2020","        335.35","        339.00","        342.10","        326.10","        333.50","        330.05","        333.58","      63280","            21109164.60","       2682","      27279","         43.11"
"GUJALKALI","EQ","07-May-2020","        330.05","        325.80","        334.45","        323.05","        333.70","        330.95","        327.75","      51080","            16741619.40","       1874","      21626","         42.34"
"GUJALKALI","EQ","08-May-2020","        330.95","        333.00","        338.80","        325.00","        326.70","        326.05","        331.97","      40026","            13287565.35","       1880","      19676","         49.16"
"GUJALKALI","EQ","11-May-2020","        326.05","        329.70","        329.85","        315.10","        320.00","        318.95","        321.21","      59861","            19228086.50","       3348","      36597","         61.14"
"GUJALKALI","EQ","12-May-2020","        318.95","        316.20","        323.85","        310.20","        322.00","        320.90","        315.47","      74613","            23538434.35","       2467","      34936","         46.82"
"GUJALKALI","EQ","13-May-2020","        320.90","        330.00","        352.00","        330.00","        346.00","        346.20","        342.91","     331175","           113562171.30","       8631","     101740","         30.72"
"GUJALKALI","EQ","14-May-2020","        346.20","        346.00","        346.00","        334.00","        337.15","        337.30","        337.47","      58430","            19718340.90","       2727","      29722","         50.87"
"GUJALKALI","EQ","15-May-2020","        337.30","        334.25","        336.50","        319.05","        325.00","        324.75","        324.36","     100995","            32758321.70","       5053","      61492","         60.89"
"GUJALKALI","EQ","18-May-2020","        324.75","        325.00","        332.00","        310.20","        314.80","        312.30","        318.19","      89542","            28491216.80","       3938","      60227","         67.26"
"GUJALKALI","EQ","19-May-2020","        312.30","        317.95","        321.95","        313.10","        315.95","        314.45","        317.33","      46520","            14762232.40","       2290","      21846","         46.96"
"GUJALKALI","EQ","20-May-2020","        314.45","        315.80","        324.80","        308.00","        320.00","        318.70","        314.99","      82841","            26094350.25","       2789","      51181","         61.78"
"GUJALKALI","EQ","21-May-2020","        318.70","        317.95","        320.85","        302.15","        315.50","        314.20","        314.48","      45277","            14238721.70","       1840","      24472","         54.05"
"GUJALKALI","EQ","22-May-2020","        314.20","        316.00","        321.95","        311.50","        315.80","        314.65","        315.80","      45930","            14504687.00","       2741","      22222","         48.38"
"GUJALKALI","EQ","26-May-2020","        314.65","        318.00","        319.75","        312.50","        315.85","        315.05","        315.26","      32066","            10108994.65","       1781","      18129","         56.54"
"GUJALKALI","EQ","27-May-2020","        315.05","        318.00","        319.50","        312.55","        316.75","        316.70","        316.34","      36371","            11505682.00","       1687","      16507","         45.39"
"GUJALKALI","EQ","28-May-2020","        316.70","        318.75","        326.95","        317.05","        321.10","        322.00","        322.80","      39795","            12845793.55","       1689","      17468","         43.89"
"GUJALKALI","EQ","29-May-2020","        322.00","        321.70","        327.00","        304.90","        310.00","        308.40","        311.35","     231852","            72187232.25","       7174","     176665","         76.20"
"GUJALKALI","EQ","01-Jun-2020","        308.40","        313.25","        323.00","        313.00","        317.00","        316.15","        318.45","      78081","            24865173.05","       3471","      48924","         62.66"
"GUJALKALI","EQ","02-Jun-2020","        316.15","        318.20","        322.50","        316.85","        320.95","        319.70","        320.00","      48270","            15446237.55","       1896","      26919","         55.77"
"GUJALKALI","EQ","03-Jun-2020","        319.70","        322.05","        335.45","        318.95","        330.50","        329.45","        330.02","     294773","            97279912.60","       8451","     116710","         39.59"
"GUJALKALI","EQ","04-Jun-2020","        329.45","        329.95","        334.00","        320.30","        325.00","        324.20","        326.91","      61762","            20190603.40","       2312","      33478","         54.20"
"GUJALKALI","EQ","05-Jun-2020","        324.20","        326.35","        339.90","        326.20","        331.55","        331.95","        332.63","     148624","            49437057.90","       7756","      75332","         50.69"
"GUJALKALI","EQ","08-Jun-2020","        331.95","        336.90","        345.50","        334.50","        338.85","        340.20","        339.70","     216976","            73707725.90","       7073","      80477","         37.09"
"GUJALKALI","EQ","09-Jun-2020","        340.20","        343.80","        352.00","        338.05","        339.50","        340.00","        345.40","     151122","            52198094.25","       4836","      68725","         45.48"
"GUJALKALI","EQ","10-Jun-2020","        340.00","        342.20","        342.20","        335.55","        341.00","        340.00","        339.78","      47420","            16112354.20","       2017","      24636","         51.95"
"GUJALKALI","EQ","11-Jun-2020","        340.00","        340.00","        342.65","        330.00","        331.15","        331.45","        336.44","      44096","            14835469.85","       1852","      24501","         55.56"
"GUJALKALI","EQ","12-Jun-2020","        331.45","        310.00","        329.00","        310.00","        326.60","        327.25","        322.87","      62407","            20149369.40","       3001","      25389","         40.68"
"GUJALKALI","EQ","15-Jun-2020","        327.25","        328.90","        382.00","        321.10","        379.40","        366.50","        364.35","     544353","           198336639.80","      12403","     145973","         26.82"
"GUJALKALI","EQ","16-Jun-2020","        366.50","        379.40","        381.25","        341.10","        347.40","        350.30","        358.30","     360286","           129091009.00","      13302","     139410","         38.69"
"GUJALKALI","EQ","17-Jun-2020","        350.30","        346.00","        358.00","        343.00","        345.55","        345.80","        347.74","     101374","            35251330.95","       5050","      43504","         42.91"
"GUJALKALI","EQ","18-Jun-2020","        345.80","        346.00","        355.00","        327.60","        333.45","        333.95","        338.54","     413457","           139970281.10","      12085","     126736","         30.65"
"GUJALKALI","EQ","19-Jun-2020","        333.95","        330.50","        337.80","        323.00","        333.50","        332.50","        332.39","     141425","            47008403.15","       5009","      55623","         39.33"
