"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JPPOWER","BE","04-May-2020","          0.70","          0.70","          0.75","          0.65","          0.70","          0.75","          0.71","    2959319","             2102605.75","        868","-","-"
"JPPOWER","BE","05-May-2020","          0.75","          0.75","          0.75","          0.70","          0.70","          0.70","          0.72","    2771939","             1988123.35","        599","-","-"
"JPPOWER","BE","06-May-2020","          0.70","          0.70","          0.75","          0.70","          0.70","          0.75","          0.73","    1164607","              852893.30","        393","-","-"
"JPPOWER","BE","07-May-2020","          0.75","          0.75","          0.75","          0.70","          0.75","          0.75","          0.73","    1480773","             1081692.15","        468","-","-"
"JPPOWER","BE","08-May-2020","          0.75","          0.75","          0.75","          0.70","          0.75","          0.75","          0.72","    2676961","             1924785.45","        551","-","-"
"JPPOWER","BE","11-May-2020","          0.75","          0.75","          0.80","          0.70","          0.80","          0.80","          0.78","   12139687","             9501713.30","       1580","-","-"
"JPPOWER","BE","12-May-2020","          0.80","          0.85","          0.85","          0.80","          0.85","          0.85","          0.85","    7306961","             6198761.90","       1145","-","-"
"JPPOWER","BE","13-May-2020","          0.85","          0.90","          0.90","          0.85","          0.90","          0.90","          0.90","    7412784","             6644638.35","       1117","-","-"
"JPPOWER","BE","14-May-2020","          0.90","          0.95","          0.95","          0.90","          0.95","          0.95","          0.95","    5262591","             4998478.75","        730","-","-"
"JPPOWER","BE","15-May-2020","          0.95","          1.00","          1.00","          0.95","          1.00","          1.00","          1.00","    5666843","             5666842.75","        771","-","-"
"JPPOWER","BE","18-May-2020","          1.00","          1.05","          1.05","          0.95","          0.95","          0.95","          1.01","   10525267","            10676933.35","       1875","-","-"
"JPPOWER","BE","19-May-2020","          0.95","          0.90","          0.95","          0.90","          0.90","          0.90","          0.90","    3336691","             3003153.30","        737","-","-"
"JPPOWER","BE","20-May-2020","          0.90","          0.85","          0.95","          0.85","          0.95","          0.95","          0.90","    7486812","             6741469.45","       1204","-","-"
"JPPOWER","BE","21-May-2020","          0.95","          1.00","          1.00","          0.90","          0.95","          0.90","          0.92","   11881311","            10984474.40","       1623","-","-"
"JPPOWER","BE","22-May-2020","          0.90","          0.90","          0.90","          0.85","          0.85","          0.85","          0.85","   10992219","             9365863.10","       1256","-","-"
"JPPOWER","BE","26-May-2020","          0.85","          0.85","          0.90","          0.80","          0.85","          0.80","          0.85","   12002679","            10148067.80","       1266","-","-"
"JPPOWER","EQ","27-May-2020","          0.80","          0.85","          0.85","          0.75","          0.80","          0.75","          0.77","   33484466","            25849599.90","       2289","   16501326","         49.28"
"JPPOWER","EQ","28-May-2020","          0.75","          0.80","          0.80","          0.70","          0.80","          0.80","          0.79","   10923307","             8611679.65","        959","    5640810","         51.64"
"JPPOWER","EQ","29-May-2020","          0.80","          0.85","          0.85","          0.85","          0.85","          0.85","          0.85","    7069453","             6009035.05","        528","    4167190","         58.95"
"JPPOWER","EQ","01-Jun-2020","          0.85","          0.90","          0.90","          0.90","          0.90","          0.90","          0.90","    3557827","             3202044.30","        426","    3557326","         99.99"
"JPPOWER","EQ","02-Jun-2020","          0.90","          0.95","          0.95","          0.95","          0.95","          0.95","          0.95","    3997169","             3797310.55","        361","    3997162","        100.00"
"JPPOWER","EQ","03-Jun-2020","          0.95","          1.00","          1.00","          1.00","          1.00","          1.00","          1.00","    4134215","             4134215.00","        363","    4134214","        100.00"
"JPPOWER","EQ","04-Jun-2020","          1.00","          1.05","          1.05","          1.05","          1.05","          1.05","          1.05","    3081251","             3235313.55","        268","    3081251","        100.00"
"JPPOWER","EQ","05-Jun-2020","          1.05","          1.10","          1.10","          1.10","          1.10","          1.10","          1.10","     693050","              762355.00","        245","     693050","        100.00"
"JPPOWER","EQ","08-Jun-2020","          1.10","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","    3027092","             3481155.80","        233","    3027092","        100.00"
"JPPOWER","EQ","09-Jun-2020","          1.15","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","     564040","              676848.00","        255","     564040","        100.00"
"JPPOWER","EQ","10-Jun-2020","          1.20","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","     435848","              544810.00","        182","     435848","        100.00"
"JPPOWER","EQ","11-Jun-2020","          1.25","          1.30","          1.30","          1.20","          1.30","          1.30","          1.30","   30145841","            39091681.55","       3215","   21795339","         72.30"
"JPPOWER","EQ","12-Jun-2020","          1.30","          1.35","          1.35","          1.30","          1.35","          1.35","          1.35","    9024025","            12165683.85","       1412","    6876618","         76.20"
"JPPOWER","EQ","15-Jun-2020","          1.35","          1.40","          1.40","          1.40","          1.40","          1.40","          1.40","     268385","              375739.00","        127","     268385","        100.00"
"JPPOWER","EQ","16-Jun-2020","          1.40","          1.45","          1.45","          1.45","          1.45","          1.45","          1.45","    1439301","             2086986.45","        148","    1439301","        100.00"
"JPPOWER","EQ","17-Jun-2020","          1.45","          1.50","          1.50","          1.50","          1.50","          1.50","          1.50","     201898","              302847.00","        123","     201898","        100.00"
"JPPOWER","EQ","18-Jun-2020","          1.50","          1.55","          1.55","          1.55","          1.55","          1.55","          1.55","    1197344","             1855883.20","        100","    1197344","        100.00"
"JPPOWER","EQ","19-Jun-2020","          1.55","          1.60","          1.60","          1.60","          1.60","          1.60","          1.60","     156126","              249801.60","        156","     156126","        100.00"
"JPPOWER","EQ","22-Jun-2020","          1.60","          1.65","          1.65","          1.65","          1.65","          1.65","          1.65","     130119","              214696.35","        130","     130119","        100.00"
"JPPOWER","EQ","23-Jun-2020","          1.65","          1.70","          1.70","          1.70","          1.70","          1.70","          1.70","     432236","              734801.20","        107","     181879","        100.00"
"JPPOWER","EQ","24-Jun-2020","          1.70","          1.75","          1.75","          1.75","          1.75","          1.75","          1.75","     450390","              788182.50","        161","     450390","        100.00"
"JPPOWER","EQ","25-Jun-2020","          1.75","          1.80","          1.80","          1.80","          1.80","          1.80","          1.80","     345095","              621171.00","        181","     345095","        100.00"
"JPPOWER","EQ","26-Jun-2020","          1.80","          1.85","          1.85","          1.85","          1.85","          1.85","          1.85","     180334","              333617.90","        114","     180334","        100.00"
"JPPOWER","EQ","29-Jun-2020","          1.85","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","     647431","             1230118.90","        156","     647431","        100.00"
"JPPOWER","EQ","30-Jun-2020","          1.90","          1.95","          1.95","          1.95","          1.95","          1.95","          1.95","     177452","              346031.40","        143","     177452","        100.00"
"JPPOWER","EQ","01-Jul-2020","          1.95","          2.00","          2.00","          2.00","          2.00","          2.00","          2.00","    1273874","             2547748.00","        193","    1273874","        100.00"
"JPPOWER","EQ","02-Jul-2020","          2.00","          2.10","          2.10","          2.10","          2.10","          2.10","          2.10","     832271","             1747769.10","        249","     832271","        100.00"
"JPPOWER","EQ","03-Jul-2020","          2.10","          2.20","          2.20","          2.00","          2.20","          2.20","          2.14","   57071615","           121986325.65","      10896","   28444722","         49.84"
"JPPOWER","EQ","06-Jul-2020","          2.20","          2.25","          2.30","          2.10","          2.10","          2.10","          2.18","   41056837","            89436016.00","       9371","   24620966","         59.97"
"JPPOWER","EQ","07-Jul-2020","          2.10","          2.00","          2.00","          2.00","          2.00","          2.00","          2.00","    4008049","             8016098.00","       1594","    2526048","         63.02"
"JPPOWER","EQ","08-Jul-2020","          2.00","          1.90","          1.90","          1.90","          1.90","          1.90","          1.90","    3390339","             6441644.10","       1437","    3390339","        100.00"
"JPPOWER","EQ","09-Jul-2020","          1.90","          1.85","          1.95","          1.85","          1.95","          1.95","          1.91","   36364209","            69566638.20","       3494","   18607247","         51.17"
"JPPOWER","EQ","10-Jul-2020","          1.95","          2.00","          2.00","          2.00","          2.00","          2.00","          2.00","    2579502","             5159004.00","        425","    2429502","         94.18"
"JPPOWER","EQ","13-Jul-2020","          2.00","          2.10","          2.10","          1.90","          1.90","          1.90","          1.97","   17686482","            34903507.05","       3549","   12488741","         70.61"
"JPPOWER","EQ","14-Jul-2020","          1.90","          1.85","          1.85","          1.85","          1.85","          1.85","          1.85","    2236781","             4138044.85","        911","    1636780","         73.18"
"JPPOWER","EQ","15-Jul-2020","          1.85","          1.80","          1.85","          1.80","          1.80","          1.80","          1.80","    9620753","            17341263.15","       1508","    7661631","         79.64"
"JPPOWER","EQ","16-Jul-2020","          1.80","          1.75","          1.75","          1.75","          1.75","          1.75","          1.75","     502061","              878606.75","        556","     502061","        100.00"
"JPPOWER","EQ","17-Jul-2020","          1.75","          1.70","          1.80","          1.70","          1.80","          1.80","          1.75","   21342153","            37336699.90","       2154","    8865225","         41.54"
"JPPOWER","EQ","20-Jul-2020","          1.80","          1.85","          1.85","          1.85","          1.85","          1.85","          1.85","    2538287","             4695830.95","        506","    2538244","        100.00"
"JPPOWER","EQ","21-Jul-2020","          1.85","          1.90","          1.90","          1.85","          1.90","          1.90","          1.90","   10479656","            19910747.75","       1107","    6428275","         61.34"
"JPPOWER","EQ","22-Jul-2020","          1.90","          1.95","          1.95","          1.95","          1.95","          1.95","          1.95","     781317","             1523568.15","        268","     679854","         87.01"
"JPPOWER","EQ","23-Jul-2020","          1.95","          2.00","          2.00","          2.00","          2.00","          2.00","          2.00","     853847","             1707694.00","        335","     678847","         79.50"
"JPPOWER","EQ","24-Jul-2020","          2.00","          2.10","          2.10","          1.95","          2.00","          2.00","          2.07","   23309771","            48155757.80","       4100","   12384453","         53.13"
"JPPOWER","EQ","27-Jul-2020","          2.00","          1.95","          2.05","          1.90","          1.95","          1.90","          1.94","   11150536","            21607280.45","       1901","    8262307","         74.10"
"JPPOWER","EQ","28-Jul-2020","          1.90","          1.95","          1.95","          1.95","          1.95","          1.95","          1.95","    2043075","             3983996.25","        363","    2043075","        100.00"
"JPPOWER","EQ","29-Jul-2020","          1.95","          2.00","          2.00","          2.00","          2.00","          2.00","          2.00","     642698","             1285396.00","        287","     642698","        100.00"
