"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NAM-INDIA","EQ","04-May-2020","        246.75","        234.00","        241.95","        231.00","        235.05","        236.10","        236.47","    1504375","           355745591.30","      27906","     731663","         48.64"
"NAM-INDIA","EQ","05-May-2020","        236.10","        240.00","        242.00","        231.45","        231.60","        232.15","        235.66","     703189","           165715695.15","      14823","     369877","         52.60"
"NAM-INDIA","EQ","06-May-2020","        232.15","        233.00","        234.60","        226.00","        232.45","        231.35","        231.22","     800769","           185153898.95","      17291","     366685","         45.79"
"NAM-INDIA","EQ","07-May-2020","        231.35","        230.80","        239.00","        230.20","        235.00","        234.10","        235.54","     825363","           194402916.65","      11572","     247902","         30.04"
"NAM-INDIA","EQ","08-May-2020","        234.10","        237.00","        249.90","        235.95","        240.50","        240.70","        244.20","    3070677","           749845285.50","      39975","     810942","         26.41"
"NAM-INDIA","EQ","11-May-2020","        240.70","        241.00","        246.55","        238.00","        238.00","        238.55","        241.67","     924384","           223393092.85","      14597","     303166","         32.80"
"NAM-INDIA","EQ","12-May-2020","        238.55","        237.90","        240.70","        230.50","        239.50","        239.10","        236.09","     879601","           207664529.05","      13934","     230796","         26.24"
"NAM-INDIA","EQ","13-May-2020","        239.10","        252.00","        254.70","        242.45","        245.00","        244.50","        246.27","    1532468","           377406064.85","      27301","     705363","         46.03"
"NAM-INDIA","EQ","14-May-2020","        244.50","        241.25","        245.85","        238.80","        244.30","        244.10","        243.34","     838427","           204026304.30","      28530","     403872","         48.17"
"NAM-INDIA","EQ","15-May-2020","        244.10","        245.00","        246.00","        241.00","        245.45","        243.90","        243.34","     681363","           165802287.80","      15050","     289935","         42.55"
"NAM-INDIA","EQ","18-May-2020","        243.90","        232.10","        237.70","        225.05","        228.75","        229.20","        231.38","    2104497","           486929321.00","      39679","     787779","         37.43"
"NAM-INDIA","EQ","19-May-2020","        229.20","        233.75","        234.90","        229.20","        230.50","        230.65","        232.15","     776547","           180274760.35","      20060","     327115","         42.12"
