"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NITINSPIN","EQ","04-May-2020","         32.00","         31.80","         31.80","         30.50","         30.60","         30.80","         30.99","      21810","              675872.40","        247","      17773","         81.49"
"NITINSPIN","EQ","05-May-2020","         30.80","         32.35","         32.40","         30.70","         31.05","         31.00","         30.94","      10382","              321221.50","        192","       8512","         81.99"
"NITINSPIN","EQ","06-May-2020","         31.00","         30.40","         31.45","         30.20","         31.10","         30.70","         30.89","       8258","              255069.35","        248","       4118","         49.87"
"NITINSPIN","EQ","07-May-2020","         30.70","         30.50","         31.50","         30.25","         30.50","         30.60","         30.66","      11107","              340520.80","        186","       6750","         60.77"
"NITINSPIN","EQ","08-May-2020","         30.60","         30.00","         31.00","         29.35","         29.80","         29.70","         30.16","      11645","              351180.75","        175","       8305","         71.32"
"NITINSPIN","EQ","11-May-2020","         29.70","         29.75","         30.20","         29.55","         29.75","         29.70","         29.75","      11498","              342094.65","        116","       9430","         82.01"
"NITINSPIN","EQ","12-May-2020","         29.70","         29.45","         30.00","         29.40","         29.45","         29.50","         29.68","      10384","              308160.00","        122","       5196","         50.04"
"NITINSPIN","EQ","13-May-2020","         29.50","         30.20","         30.85","         30.00","         30.85","         30.50","         30.35","      17116","              519504.45","        177","      13581","         79.35"
"NITINSPIN","EQ","14-May-2020","         30.50","         30.30","         30.95","         29.90","         30.40","         30.10","         30.18","       8899","              268559.15","         84","       7170","         80.57"
"NITINSPIN","EQ","15-May-2020","         30.10","         30.00","         30.50","         29.60","         30.05","         30.15","         30.07","       5357","              161069.90","         54","       4240","         79.15"
"NITINSPIN","EQ","18-May-2020","         30.15","         30.05","         30.45","         29.25","         29.75","         29.55","         29.48","      24414","              719778.25","        124","      15955","         65.35"
"NITINSPIN","EQ","19-May-2020","         29.55","         29.40","         30.00","         29.25","         29.25","         29.30","         29.54","       3851","              113744.55","         49","       2889","         75.02"
"NITINSPIN","EQ","20-May-2020","         29.30","         29.60","         29.70","         28.10","         29.00","         28.60","         29.02","      23537","              683137.50","        162","      15793","         67.10"
"NITINSPIN","EQ","21-May-2020","         28.60","         28.75","         29.10","         27.55","         28.10","         28.05","         28.43","      16418","              466772.70","        158","      12293","         74.88"
"NITINSPIN","EQ","22-May-2020","         28.05","         28.00","         28.00","         27.20","         27.75","         27.50","         27.50","      21170","              582269.70","        184","      18152","         85.74"
"NITINSPIN","EQ","26-May-2020","         27.50","         27.80","         28.50","         27.00","         28.40","         27.70","         27.79","      15520","              431361.30","        205","      11735","         75.61"
"NITINSPIN","EQ","27-May-2020","         27.70","         27.80","         28.55","         27.45","         28.50","         28.45","         27.82","       9968","              277324.60","         81","       9086","         91.15"
"NITINSPIN","EQ","28-May-2020","         28.45","         28.50","         29.10","         28.00","         28.85","         28.55","         28.70","      10721","              307694.30","        146","       9297","         86.72"
"NITINSPIN","EQ","29-May-2020","         28.55","         28.55","         31.00","         28.55","         29.30","         29.50","         29.73","      24368","              724520.05","        247","      15845","         65.02"
"NITINSPIN","EQ","01-Jun-2020","         29.50","         31.20","         32.45","         30.10","         31.50","         31.70","         31.54","      61713","             1946713.75","        396","      39274","         63.64"
"NITINSPIN","EQ","02-Jun-2020","         31.70","         31.85","         34.60","         31.85","         33.15","         32.90","         32.62","      51262","             1672035.20","        355","      32523","         63.44"
"NITINSPIN","EQ","03-Jun-2020","         32.90","         33.50","         34.45","         33.20","         33.75","         33.95","         33.85","      52634","             1781587.00","        344","      40326","         76.62"
"NITINSPIN","EQ","04-Jun-2020","         33.95","         34.95","         35.50","         32.10","         32.85","         33.10","         33.57","      29919","             1004461.95","        371","      17621","         58.90"
"NITINSPIN","EQ","05-Jun-2020","         33.10","         33.60","         36.50","         33.10","         35.80","         35.05","         35.38","      96914","             3429167.60","        553","      62863","         64.86"
"NITINSPIN","EQ","08-Jun-2020","         35.05","         36.30","         37.50","         35.00","         37.00","         35.85","         36.12","      76093","             2748828.50","        543","      52200","         68.60"
"NITINSPIN","EQ","09-Jun-2020","         35.85","         36.05","         36.80","         33.80","         34.80","         34.95","         35.69","      45403","             1620479.45","        653","      32286","         71.11"
"NITINSPIN","EQ","10-Jun-2020","         34.95","         35.45","         35.60","         34.10","         34.75","         34.85","         34.82","      20719","              721411.20","        273","      13255","         63.98"
"NITINSPIN","EQ","11-Jun-2020","         34.85","         35.40","         37.80","         34.40","         36.35","         36.50","         36.74","     160567","             5899806.65","       1348","      69944","         43.56"
"NITINSPIN","EQ","12-Jun-2020","         36.50","         35.60","         36.20","         34.50","         35.70","         35.85","         35.60","      33690","             1199269.05","        312","      26284","         78.02"
"NITINSPIN","EQ","15-Jun-2020","         35.85","         35.50","         36.85","         35.30","         35.85","         35.65","         35.77","      25628","              916704.40","        203","      19044","         74.31"
"NITINSPIN","EQ","16-Jun-2020","         35.65","         36.05","         36.85","         34.55","         35.70","         35.15","         35.81","      55089","             1973009.65","        349","      42121","         76.46"
"NITINSPIN","EQ","17-Jun-2020","         35.15","         35.05","         36.80","         34.05","         35.35","         35.30","         35.42","      29855","             1057454.90","        346","      23640","         79.18"
"NITINSPIN","EQ","18-Jun-2020","         35.30","         36.85","         37.00","         35.00","         36.00","         36.05","         36.02","      42781","             1540841.50","        314","      31932","         74.64"
"NITINSPIN","EQ","19-Jun-2020","         36.05","         37.50","         39.40","         36.40","         37.00","         36.95","         37.07","     146071","             5415194.15","       1809","     103058","         70.55"
"NITINSPIN","EQ","22-Jun-2020","         36.95","         37.90","         44.30","         36.70","         44.30","         44.30","         42.91","     510086","            21889895.40","       3000","     321855","         63.10"
"NITINSPIN","EQ","23-Jun-2020","         44.30","         47.20","         53.15","         46.40","         52.50","         52.05","         51.16","    1236083","            63236613.75","       7858","     315134","         39.85"
