"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHARDACROP","EQ","04-May-2020","        146.70","        146.00","        154.00","        139.40","        154.00","        151.45","        146.19","      32331","             4726469.90","        574","      19781","         61.18"
"SHARDACROP","EQ","05-May-2020","        151.45","        155.00","        158.00","        146.25","        146.50","        147.75","        152.57","      21818","             3328880.55","        697","      14161","         64.91"
"SHARDACROP","EQ","06-May-2020","        147.75","        146.25","        152.00","        141.95","        147.00","        146.50","        147.47","      15408","             2272294.65","        433","       8427","         54.69"
"SHARDACROP","EQ","07-May-2020","        146.50","        146.35","        148.35","        144.15","        145.20","        145.30","        146.01","       5164","              753970.15","        165","       3310","         64.10"
"SHARDACROP","EQ","08-May-2020","        145.30","        151.50","        151.50","        138.50","        139.10","        139.70","        141.99","      35869","             5092874.45","        625","      28402","         79.18"
"SHARDACROP","EQ","11-May-2020","        139.70","        145.00","        146.00","        133.00","        139.70","        138.25","        140.41","       9072","             1273759.40","        393","       6174","         68.06"
"SHARDACROP","EQ","12-May-2020","        138.25","        131.50","        137.95","        131.35","        132.00","        132.25","        132.47","      21209","             2809662.25","        415","      14653","         69.09"
"SHARDACROP","EQ","13-May-2020","        132.25","        137.95","        138.85","        135.05","        138.85","        138.80","        137.64","      13031","             1793524.70","        332","       8808","         67.59"
"SHARDACROP","EQ","14-May-2020","        138.80","        138.85","        144.50","        133.80","        142.05","        143.25","        141.79","      24708","             3503463.00","        358","      20551","         83.18"
"SHARDACROP","EQ","15-May-2020","        143.25","        144.25","        147.90","        140.50","        142.00","        141.90","        142.07","       7569","             1075353.55","        214","       6116","         80.80"
"SHARDACROP","EQ","18-May-2020","        141.90","        142.05","        144.00","        134.85","        136.30","        135.65","        136.54","       9652","             1317840.75","        335","       6615","         68.54"
"SHARDACROP","EQ","19-May-2020","        135.65","        141.00","        141.00","        132.15","        132.20","        133.50","        135.20","       5849","              790756.20","        251","       4553","         77.84"
"SHARDACROP","EQ","20-May-2020","        133.50","        132.20","        140.00","        132.20","        139.00","        138.75","        138.46","       8356","             1157004.60","        231","       6652","         79.61"
"SHARDACROP","EQ","21-May-2020","        138.75","        142.90","        142.95","        135.80","        138.80","        138.95","        139.32","       2719","              378817.90","        134","       1232","         45.31"
"SHARDACROP","EQ","22-May-2020","        138.95","        137.70","        142.00","        135.55","        138.00","        137.75","        137.97","       8102","             1117800.85","        207","       4853","         59.90"
"SHARDACROP","EQ","26-May-2020","        137.75","        137.80","        140.75","        134.30","        137.35","        136.95","        136.98","      13031","             1784999.85","        320","       7300","         56.02"
"SHARDACROP","EQ","27-May-2020","        136.95","        137.35","        143.75","        137.00","        143.75","        143.75","        141.82","      16086","             2281275.75","        451","      10989","         68.31"
"SHARDACROP","EQ","28-May-2020","        143.75","        150.90","        150.90","        148.70","        150.90","        150.90","        150.86","      36778","             5548462.35","        219","      35452","         96.39"
"SHARDACROP","EQ","29-May-2020","        150.90","        155.00","        158.40","        153.00","        158.40","        158.40","        157.15","      28774","             4521722.30","        613","      20084","         69.80"
"SHARDACROP","EQ","01-Jun-2020","        158.40","        166.00","        166.30","        162.60","        166.30","        166.30","        166.19","       8578","             1425541.30","        220","       7787","         90.78"
"SHARDACROP","EQ","02-Jun-2020","        166.30","        174.60","        174.60","        174.60","        174.60","        174.60","        174.60","       4022","              702241.20","         61","       4022","        100.00"
