"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTLBSL","EQ","04-May-2020","         18.20","         17.65","         17.65","         16.55","         16.70","         16.70","         16.75","    2323849","            38928050.25","       6296","    1350820","         58.13"
"TATASTLBSL","EQ","05-May-2020","         16.70","         17.40","         17.40","         16.65","         16.95","         16.75","         16.97","    1566768","            26584382.05","       4028","     437217","         27.91"
"TATASTLBSL","EQ","06-May-2020","         16.75","         17.00","         17.25","         16.75","         17.15","         17.05","         17.04","     847404","            14438856.80","       3139","     262316","         30.96"
"TATASTLBSL","EQ","07-May-2020","         17.05","         17.05","         17.40","         16.90","         17.05","         17.00","         17.11","     792978","            13569896.45","       2453","     212764","         26.83"
"TATASTLBSL","EQ","08-May-2020","         17.00","         17.25","         17.50","         16.65","         16.85","         16.80","         17.02","    1129620","            19221064.90","       2571","     415958","         36.82"
"TATASTLBSL","EQ","11-May-2020","         16.80","         16.85","         17.40","         16.80","         16.80","         16.85","         17.10","    2765453","            47300302.45","       4277","    1423652","         51.48"
"TATASTLBSL","EQ","12-May-2020","         16.85","         16.85","         16.90","         16.10","         16.80","         16.75","         16.40","    1821032","            29856035.50","       6115","     671066","         36.85"
"TATASTLBSL","EQ","13-May-2020","         16.75","         17.55","         17.65","         16.75","         17.10","         16.95","         17.17","    2244232","            38524379.25","       5378","     628598","         28.01"
"TATASTLBSL","EQ","14-May-2020","         16.95","         16.85","         16.90","         16.35","         16.55","         16.50","         16.57","    1654503","            27412157.20","       5191","    1143165","         69.09"
"TATASTLBSL","EQ","15-May-2020","         16.50","         16.75","         16.95","         16.40","         16.75","         16.70","         16.74","    1456200","            24378612.85","       3338","     604123","         41.49"
"TATASTLBSL","EQ","18-May-2020","         16.70","         17.10","         17.10","         16.10","         16.35","         16.30","         16.35","    1754361","            28683905.75","       2967","     772707","         44.04"
"TATASTLBSL","EQ","19-May-2020","         16.30","         16.85","         17.25","         16.40","         16.75","         16.70","         16.89","    2032193","            34317345.75","       3485","     775606","         38.17"
"TATASTLBSL","EQ","20-May-2020","         16.70","         16.95","         17.40","         16.70","         17.40","         17.30","         17.15","    1683891","            28870808.65","       3422","     887632","         52.71"
"TATASTLBSL","EQ","21-May-2020","         17.30","         17.55","         17.55","         17.05","         17.35","         17.35","         17.32","    1836415","            31801708.35","       2891","     399007","         21.73"
"TATASTLBSL","EQ","22-May-2020","         17.35","         17.30","         17.30","         16.70","         16.85","         16.75","         16.85","    1349066","            22730144.90","       4188","     659854","         48.91"
"TATASTLBSL","EQ","26-May-2020","         16.75","         17.10","         17.35","         16.85","         17.10","         17.10","         17.19","    1575206","            27084160.05","       3032","     634928","         40.31"
"TATASTLBSL","EQ","27-May-2020","         17.10","         17.30","         17.75","         17.05","         17.55","         17.50","         17.30","    1442047","            24942189.95","       3288","     491638","         34.09"
"TATASTLBSL","EQ","28-May-2020","         17.50","         17.50","         18.20","         17.50","         17.90","         18.00","         17.89","    2624176","            46956111.95","       3663","    1043084","         39.75"
"TATASTLBSL","EQ","29-May-2020","         18.00","         17.95","         17.95","         17.45","         17.90","         17.80","         17.66","    1870219","            33034941.85","       2721","     654701","         35.01"
"TATASTLBSL","EQ","01-Jun-2020","         17.80","         18.05","         19.35","         18.00","         19.30","         19.10","         19.09","    4011847","            76600157.15","       6400","    1446818","         36.06"
"TATASTLBSL","EQ","02-Jun-2020","         19.10","         19.30","         20.00","         19.00","         19.75","         19.75","         19.61","    6112063","           119850197.60","       7092","    2774156","         45.39"
"TATASTLBSL","EQ","03-Jun-2020","         19.75","         20.15","         20.25","         19.45","         19.60","         19.65","         19.89","    2366793","            47072987.00","       5367","     959619","         40.55"
"TATASTLBSL","EQ","04-Jun-2020","         19.65","         19.65","         19.95","         19.25","         19.60","         19.60","         19.60","    1655830","            32455677.05","       3120","     623892","         37.68"
"TATASTLBSL","EQ","05-Jun-2020","         19.60","         19.95","         21.25","         19.75","         21.00","         20.95","         20.83","    6494740","           135253585.25","       7886","    2675182","         41.19"
"TATASTLBSL","EQ","08-Jun-2020","         20.95","         21.95","         21.95","         20.25","         20.85","         20.75","         21.13","    4438630","            93786155.55","       6328","    1993866","         44.92"
"TATASTLBSL","EQ","09-Jun-2020","         20.75","         20.95","         21.30","         20.20","         20.35","         20.40","         20.80","    2446072","            50884700.70","       4295","     861338","         35.21"
"TATASTLBSL","EQ","10-Jun-2020","         20.40","         20.25","         20.40","         19.90","         20.10","         20.05","         20.10","    1559646","            31353137.60","       2903","     425104","         27.26"
"TATASTLBSL","EQ","11-Jun-2020","         20.05","         20.00","         20.05","         19.35","         19.50","         19.45","         19.86","    3388112","            67273000.40","       4174","    2124662","         62.71"
"TATASTLBSL","EQ","12-Jun-2020","         19.45","         18.20","         19.80","         18.20","         19.80","         19.60","         18.93","    2055273","            38916512.90","       4220","     614287","         29.89"
"TATASTLBSL","EQ","15-Jun-2020","         19.60","         19.70","         19.75","         18.70","         19.10","         19.00","         18.98","    2118877","            40217610.60","       4476","     990767","         46.76"
"TATASTLBSL","EQ","16-Jun-2020","         19.00","         19.50","         20.00","         18.60","         19.15","         19.05","         19.44","    2154314","            41879303.80","       4268","     613658","         28.49"
"TATASTLBSL","EQ","17-Jun-2020","         19.05","         18.95","         19.50","         18.85","         19.15","         19.00","         19.19","    1209510","            23215117.65","       2435","     341243","         28.21"
"TATASTLBSL","EQ","18-Jun-2020","         19.00","         18.95","         21.90","         18.90","         19.75","         19.70","         19.57","    1896838","            37121536.75","       3069","     752293","         39.66"
"TATASTLBSL","EQ","19-Jun-2020","         19.70","         20.30","         20.40","         19.70","         19.80","         19.90","         20.03","    2889049","            57873231.85","       4982","    1043301","         36.11"
"TATASTLBSL","EQ","22-Jun-2020","         19.90","         20.00","         20.40","         19.75","         20.35","         20.20","         20.04","    2115301","            42392973.95","       3756","     952781","         45.04"
"TATASTLBSL","EQ","23-Jun-2020","         20.20","         20.50","         20.85","         20.20","         20.50","         20.65","         20.58","    2733276","            56247426.00","       4088","     539986","         50.50"
"TATASTLBSL","EQ","24-Jun-2020","         20.65","         21.15","         21.90","         20.00","         20.50","         20.50","         21.04","    5683007","           119579341.70","       8223","    2731346","         48.06"
"TATASTLBSL","EQ","25-Jun-2020","         20.50","         20.55","         20.70","         20.00","         20.10","         20.15","         20.39","    2289730","            46678318.20","       7123","     807923","         35.28"
"TATASTLBSL","EQ","26-Jun-2020","         20.15","         20.25","         20.75","         20.10","         20.40","         20.30","         20.45","    1956900","            40013976.15","       4147","     618662","         31.61"
"TATASTLBSL","EQ","29-Jun-2020","         20.30","         20.35","         20.35","         19.90","         20.10","         20.20","         20.10","    1590211","            31966460.05","       2935","     638116","         40.13"
"TATASTLBSL","EQ","30-Jun-2020","         20.20","         20.30","         21.35","         20.20","         20.55","         20.50","         20.91","    4128151","            86324002.35","       5976","    1179909","         28.58"
"TATASTLBSL","EQ","01-Jul-2020","         20.50","         20.70","         20.70","         20.10","         20.25","         20.25","         20.28","    2035967","            41284986.95","       2869","     730025","         35.86"
"TATASTLBSL","EQ","02-Jul-2020","         20.25","         20.55","         20.90","         20.25","         20.70","         20.70","         20.55","    2280538","            46867168.20","       2985","     961681","         42.17"
"TATASTLBSL","EQ","03-Jul-2020","         20.70","         20.75","         21.00","         20.20","         20.50","         20.35","         20.57","    1481989","            30480294.75","       2577","     485796","         32.78"
"TATASTLBSL","EQ","06-Jul-2020","         20.35","         20.90","         21.15","         20.35","         20.95","         20.90","         20.88","    2815941","            58805871.95","       4624","    1503197","         53.38"
"TATASTLBSL","EQ","07-Jul-2020","         20.90","         20.80","         21.05","         20.50","         20.60","         20.65","         20.71","    1411432","            29232273.20","       2332","     482468","         34.18"
"TATASTLBSL","EQ","08-Jul-2020","         20.65","         20.65","         21.65","         20.65","         20.90","         20.90","         21.20","    3881784","            82287084.35","       5139","    1093983","         28.18"
"TATASTLBSL","EQ","09-Jul-2020","         20.90","         21.40","         21.80","         21.10","         21.70","         21.60","         21.57","    3404962","            73461602.05","       4777","    1149820","         33.77"
"TATASTLBSL","EQ","10-Jul-2020","         21.60","         21.50","         21.60","         20.90","         21.10","         21.05","         21.17","    2294494","            48566986.15","       3363","     776205","         33.83"
"TATASTLBSL","EQ","13-Jul-2020","         21.05","         21.55","         21.65","         21.10","         21.20","         21.30","         21.38","    1895671","            40530408.70","       2475","     460845","         24.31"
"TATASTLBSL","EQ","14-Jul-2020","         21.30","         21.15","         21.15","         20.60","         20.80","         20.85","         20.85","    1802739","            37591848.80","       2731","     591860","         32.83"
"TATASTLBSL","EQ","15-Jul-2020","         20.85","         20.90","         21.50","         20.90","         21.10","         21.05","         21.21","    2306932","            48934404.05","       2533","     614342","         26.63"
"TATASTLBSL","EQ","16-Jul-2020","         21.05","         21.10","         21.45","         20.55","         21.05","         21.10","         20.89","    2047089","            42753623.40","       2362","     523657","         25.58"
"TATASTLBSL","EQ","17-Jul-2020","         21.10","         21.35","         22.10","         21.30","         21.65","         21.60","         21.80","    3504565","            76395884.85","       3922","    1169730","         33.38"
"TATASTLBSL","EQ","20-Jul-2020","         21.60","         21.95","         21.95","         21.40","         21.80","         21.80","         21.67","    1634100","            35414864.40","       2202","     486604","         29.78"
"TATASTLBSL","EQ","21-Jul-2020","         21.80","         22.30","         22.30","         21.60","         22.10","         22.05","         21.89","    1881052","            41167026.30","       2573","     675678","         35.92"
"TATASTLBSL","EQ","22-Jul-2020","         22.05","         22.10","         22.25","         21.10","         21.55","         21.45","         21.81","    2533526","            55249324.75","       3563","     719075","         28.38"
"TATASTLBSL","EQ","23-Jul-2020","         21.45","         21.70","         21.80","         21.40","         21.50","         21.50","         21.58","    1144951","            24704803.10","       2081","     269666","         23.55"
"TATASTLBSL","EQ","24-Jul-2020","         21.50","         21.25","         21.40","         20.95","         21.15","         21.15","         21.16","    1032511","            21851473.30","       2070","     324956","         31.47"
"TATASTLBSL","EQ","27-Jul-2020","         21.15","         21.70","         21.70","         20.70","         21.45","         21.40","         21.32","    1529484","            32613484.00","       7041","     441440","         28.86"
"TATASTLBSL","EQ","28-Jul-2020","         21.40","         21.45","         21.80","         21.25","         21.70","         21.65","         21.57","    1349574","            29113039.95","      12412","     435791","         32.29"
"TATASTLBSL","EQ","29-Jul-2020","         21.65","         21.65","         22.65","         21.30","         22.40","         22.30","         22.17","    5992087","           132837447.20","      11436","    2050351","         34.22"
"TATASTLBSL","EQ","30-Jul-2020","         22.30","         22.70","         22.70","         21.70","         21.75","         21.80","         22.11","    1314147","            29056733.90","       7417","     485718","         36.96"
"TATASTLBSL","EQ","31-Jul-2020","         21.80","         21.50","         22.10","         21.35","         22.10","         21.85","         21.77","    1726601","            37580392.15","      12969","     639752","         37.05"
"TATASTLBSL","EQ","03-Aug-2020","         21.85","         19.10","         22.05","         19.10","         21.65","         21.70","         21.16","    3751489","            79364218.05","       3277","    1411528","         37.63"
"TATASTLBSL","EQ","04-Aug-2020","         21.70","         21.55","         22.10","         21.55","         21.80","         21.75","         21.84","    2011434","            43926133.90","       6631","    1249133","         62.10"
"TATASTLBSL","EQ","05-Aug-2020","         21.75","         21.90","         23.75","         21.90","         23.60","         23.50","         22.91","    5893051","           135007823.35","      11356","    2132161","         36.18"
"TATASTLBSL","EQ","06-Aug-2020","         23.50","         23.70","         24.25","         23.20","         24.10","         24.05","         23.72","    3297988","            78244458.35","       3802","    1342196","         40.70"
"TATASTLBSL","EQ","07-Aug-2020","         24.05","         24.20","         24.60","         23.70","         24.25","         24.30","         24.31","    2042961","            49672977.25","       9541","     541944","         26.53"
